URL,#_of_valid_wiki_pages_linked,#_of_supported_languages,word_count
Probability_theory,332,84,4661
Continuum_(set_theory),24,13,572
Ordinary_differential_equation,357,49,8367
Partial_differential_equation,401,50,7609
Numerical_analysis,456,90,5118
Markov_chain,642,48,13699
Countable,507,40,5803
Algorithm,504,132,7320
Implementation,21,24,1053
Computational_complexity,269,19,3805
Four_color_theorem,255,57,6450
Kepler_conjecture,150,20,2904
P_versus_NP_problem,347,41,8553
Computationally_expensive,259,25,4546
Subset,462,67,2979
Geometric_shape,152,60,2881
Graph_theory,486,72,7288
Hypergraph,242,27,6994
Coding_theory,300,35,4362
Error_correcting_code,245,19,5187
Cryptography,1391,96,12818
Matroid,261,20,9760
Discrete_probability_distribution,849,56,8894
Continuous_game,22,1,2482
Chess,1525,194,20459
Poker,211,84,2922
Discrete_optimization,91,7,568
Combinatorial_optimization,195,16,2313
Integer_programming,186,19,4614
Constraint_programming,231,18,3078
Venn_diagram,542,57,4236
Logic,786,163,17013
Philosophy,986,237,17184
Georg_Cantor,693,91,11049
Infinite_set,406,33,1764
Actually_infinite,105,6,3059
Infinity,361,115,6750
Enumeration,335,13,2410
Cantor%27s_diagonal_argument,456,36,4415
Controversy_over_Cantor%27s_theory,158,1,3622
Zermelo%E2%80%93Fraenkel_set_theory,603,30,7736
Peano_arithmetic,498,38,7536
Mathematical_abstraction,34,15,896
Formalism_(philosophy_of_mathematics),83,18,1826
David_Hilbert,340,128,7677
G%C3%B6del%27s_incompleteness_theorems,618,54,12884
Consistent,369,25,4152
Formal_system,528,32,2820
L._E._J._Brouwer,100,36,2495
Intuitionistic_logic,226,22,9871
Law_of_excluded_middle,469,38,6600
Model_theory,554,36,10373
Proof_theory,381,26,3343
Type_theory,801,24,10554
Computability_theory,683,41,7291
Computational_complexity_theory,467,36,8038
Compiler,552,95,8691
Formal_verification,114,21,2251
Program_analysis,203,9,1982
Proof_assistant,124,7,1876
Probability_distribution,845,56,8889
Mean,443,48,3387
Gaussian_distribution,833,73,25629
Variance,543,63,12024
Central_limit_theorem,547,41,10775
Random_sampling,569,41,8820
Design_of_experiments,720,27,6458
Statistical_theory,392,6,2093
Statistical_decision_theory,694,37,4457
Risk,592,66,11757
Expected_loss,24,2,910
Statistical_method,924,153,10057
Parameter_estimation,134,18,3008
Hypothesis_testing,777,46,11526
Selection_algorithm,225,16,6363
Mathematical_statistics,468,38,3009
Objective_function,466,25,3789
Cost,149,47,1521
Optimization,533,55,6979
Decision_science,693,37,4456
Operations_research,525,50,6777
Control_theory,627,40,7877
Mathematical_problem,39,18,1195
Analysis_(mathematics),484,114,5420
Approximation_theory,138,28,2913
Approximation,75,44,2294
Discretization,62,14,2797
Rounding_error,51,11,4453
Numerical_linear_algebra,206,19,3504
Computer_algebra,357,21,3904
Symbolic_computation,357,21,3908
Ancient_Greek,945,128,6800
Late_Middle_English,704,63,9230
Pythagoreanism,1208,54,11351
Aristotle,2864,220,22601
Astronomy,1246,243,12134
Saint_Augustine,3205,156,25702
Plural,163,70,2498
Neuter_(grammar),478,76,13293
Cicero,2316,130,15623
Physics,793,244,10082
Metaphysics,1200,122,16310
Plimpton_322,87,21,7288
Counting,71,43,2444
Prehistoric,864,162,7106
Babylonia,1461,94,14175
Mesopotamia,1015,161,11937
Ancient_Egypt,1691,171,18372
Pythagorean_triple,257,58,12568
Pythagorean_theorem,401,133,13783
Elementary_arithmetic,86,29,2954
Addition,360,130,10745
Subtraction,121,117,4083
Multiplication,223,123,7580
Division_(mathematics),197,120,4292
Sexagesimal,239,45,3441
Ancient_Greeks,1626,152,11904
Pythagoreans,1187,54,11354
Archimedes,714,187,11263
Syracuse_Italy,1079,101,7541
Solids_of_revolution,49,36,2484
Method_of_exhaustion,217,29,1570
Area,332,165,6844
Parabola,235,87,14964
Series_(mathematics),555,80,14703
Conic_sections,319,78,10314
Apollonius_of_Perga,461,67,11426
Trigonometry,306,139,6262
